temps,x_soleil,y_soleil,x_terre,y_terre,derive_E 
0.9616,0,0,0.9698472914748139,-0.27394799739536535,0.00747930217035569
0.9617,0,0,0.9700174144846779,-0.2733457617524449,0.0074800674928443825
0.9618,0,0,0.9701871634303233,-0.2727434204494432,0.007480832814922797
0.9619,0,0,0.9703565382463644,-0.27214097371870366,0.007481598136591962
0.9620,0,0,0.9705255388675597,-0.27153842179261006,0.007482363457852792
0.9621,0,0,0.970694165228812,-0.27093576490358656,0.0074831287787046
0.9622,0,0,0.9708624172651686,-0.2703330032840976,0.007483894099147959
0.9623,0,0,0.971030294911821,-0.26973013716664773,0.007484659419182984
0.9624,0,0,0.9711977981041049,-0.2691271667837817,0.007485424738810931
0.9625,0,0,0.9713649267775004,-0.26852409236808406,0.007486190058031114
0.9626,0,0,0.9715316808676322,-0.26792091415217945,0.007486955376844677
0.9627,0,0,0.9716980603102693,-0.2673176323687322,0.007487720695251391
0.9628,0,0,0.971864065041325,-0.26671424725044635,0.007488486013251485
0.9629,0,0,0.9720296949968574,-0.26611075903006565,0.007489251330846101
0.9630,0,0,0.9721949501130687,-0.2655071679403733,0.007490016648034669
0.9631,0,0,0.9723598303263058,-0.2649034742141921,0.007490781964817645
0.9632,0,0,0.9725243355730603,-0.264299678084384,0.007491547281196173
0.9633,0,0,0.9726884657899681,-0.2636957797838504,0.0074923125971697955
0.9634,0,0,0.97285222091381,-0.2630917795455318,0.007493077912739427
0.9635,0,0,0.9730156008815108,-0.2624876776024079,0.00749384322790461
0.9636,0,0,0.9731786056301408,-0.2618834741874972,0.007494608542666031
0.9637,0,0,0.9733412350969143,-0.26127916953385727,0.007495373857024375
0.9638,0,0,0.9735034892191905,-0.2606747638745845,0.0074961391709801
0.9639,0,0,0.9736653679344733,-0.2600702574428139,0.007496904484532861
0.9640,0,0,0.9738268711804114,-0.25946565047171927,0.007497669797683005
0.9641,0,0,0.9739879988947983,-0.25886094319451286,0.007498435110431443
0.9642,0,0,0.9741487510155721,-0.25825613584444546,0.007499200422777834
0.9643,0,0,0.9743091274808158,-0.25765122865480616,0.007499965734723206
0.9644,0,0,0.9744691282287572,-0.2570462218589224,0.007500731046266988
0.9645,0,0,0.9746287531977691,-0.25644111569015976,0.00750149635741055
0.9646,0,0,0.974788002326369,-0.25583591038192194,0.007502261668153323
0.9647,0,0,0.9749468755532192,-0.2552306061676507,0.007503026978496219
0.9648,0,0,0.9751053728171274,-0.2546252032808257,0.007503792288439241
0.9649,0,0,0.9752634940570458,-0.2540197019549644,0.007504557597982729
0.9650,0,0,0.9754212392120717,-0.2534141024236221,0.007505322907127142
0.9651,0,0,0.9755786082214475,-0.25280840492039164,0.007506088215872708
0.9652,0,0,0.9757356010245604,-0.2522026096789035,0.007506853524219999
0.9653,0,0,0.9758922175609428,-0.25159671693282565,0.007507618832168442
0.9654,0,0,0.9760484577702723,-0.2509907269158634,0.007508384139719411
0.9655,0,0,0.9762043215923712,-0.25038463986175935,0.007509149446873019
0.9656,0,0,0.9763598089672074,-0.24977845600429335,0.0075099147536291525
0.9657,0,0,0.9765149198348936,-0.24917217557728233,0.007510680059988382
0.9658,0,0,0.9766696541356876,-0.2485657988145803,0.0075114453659509365
0.9659,0,0,0.9768240118099927,-0.24795932595007814,0.007512210671517501
0.9660,0,0,0.9769779927983571,-0.2473527572177036,0.007512975976687849
0.9661,0,0,0.9771315970414745,-0.24674609285142127,0.007513741281462209
0.9662,0,0,0.9772848244801835,-0.24613933308523225,0.007514506585841836
0.9663,0,0,0.9774376750554684,-0.24553247815317436,0.007515271889825818
0.9664,0,0,0.9775901487084585,-0.24492552828932182,0.00751603719341541
0.9665,0,0,0.9777422453804285,-0.24431848372778528,0.007516802496610614
0.9666,0,0,0.9778939650127985,-0.2437113447027117,0.007517567799411316
0.9667,0,0,0.9780453075471337,-0.24310411144828423,0.007518333101818086
0.9668,0,0,0.9781962729251451,-0.24249678419872217,0.007519098403832068
0.9669,0,0,0.9783468610886888,-0.24188936318828086,0.007519863705452004
0.9670,0,0,0.9784970719797667,-0.24128184865125157,0.007520629006679038
0.9671,0,0,0.9786469055405255,-0.24067424082196145,0.007521394307513398
0.9672,0,0,0.978796361713258,-0.2400665399347734,0.007522159607956342
0.9673,0,0,0.9789454404404022,-0.23945874622408597,0.0075229249080064975
0.9674,0,0,0.9790941416645418,-0.23885085992433336,0.0075236902076651225
0.9675,0,0,0.9792424653284058,-0.2382428812699852,0.0075244555069323305
0.9676,0,0,0.9793904113748688,-0.23763481049554655,0.007525220805808123
0.9677,0,0,0.9795379797469513,-0.2370266478355578,0.007525986104293299
0.9678,0,0,0.9796851703878192,-0.23641839352459454,0.007526751402388202
0.9679,0,0,0.9798319832407839,-0.23581004779726752,0.0075275167000928315
0.9680,0,0,0.9799784182493027,-0.23520161088822253,0.007528281997407417
0.9681,0,0,0.9801244753569782,-0.23459308303214027,0.0075290472943325285
0.9682,0,0,0.9802701545075593,-0.23398446446373636,0.00752981259086771
0.9683,0,0,0.98041545564494,-0.23337575541776118,0.007530577887014676
0.9684,0,0,0.9805603787131605,-0.23276695612899975,0.00753134318277217
0.9685,0,0,0.9807049236564064,-0.23215806683227175,0.0075321084781414475
0.9686,0,0,0.9808490904190094,-0.2315490877624313,0.007532873773122509
0.9687,0,0,0.9809928789454467,-0.230940019154367,0.007533639067715699
0.9688,0,0,0.9811362891803417,-0.23033086124300167,0.007534404361921702
0.9689,0,0,0.9812793210684633,-0.2297216142632925,0.007535169655739833
0.9690,0,0,0.9814219745547264,-0.22911227845023066,0.007535934949171234
0.9691,0,0,0.9815642495841918,-0.2285028540388415,0.007536700242215791
0.9692,0,0,0.9817061461020662,-0.22789334126418426,0.00753746553487419
0.9693,0,0,0.9818476640537023,-0.22728374036135207,0.007538230827145974
0.9694,0,0,0.9819888033845986,-0.22667405156547185,0.007538996119032058
0.9695,0,0,0.9821295640403997,-0.2260642751117042,0.007539761410532784
0.9696,0,0,0.9822699459668962,-0.22545441123524332,0.0075405267016479234
0.9697,0,0,0.9824099491100247,-0.2248444601713169,0.0075412919923781635
0.9698,0,0,0.9825495734158677,-0.22423442215518605,0.00754205728272316
0.9699,0,0,0.982688818830654,-0.2236242974221452,0.007542822572684284
0.9700,0,0,0.9828276853007581,-0.22301408620752208,0.007543587862260508
0.9701,0,0,0.9829661727727013,-0.22240378874667746,0.0075443531514538895
0.9702,0,0,0.9831042811931502,-0.22179340527500524,0.007545118440262942
0.9703,0,0,0.983242010508918,-0.22118293602793226,0.007545883728689152
0.9704,0,0,0.9833793606669641,-0.22057238124091824,0.007546649016731947
